task_key,strategy_profile,strategy_profile_version,query_family,query_kind,query_pass,platform,lane,career_lane,lane_label,allocation_percent,profile,priority,initial_order,career_priority,execution_rank,query,remote_required,age_days,sort_mode,enabled,resume_variant,search_url,phase,max_results
T508C3082389846FB0A,jobbot-broad-qualified-yield,2026-09-22.1,provider_lifecycle_credentialing_data,intent,linkedin_intent,linkedin,HEALTHCARE_OPS_ACCESS,HEALTHCARE_OPS_ACCESS,Healthcare operations / access,35,P0-healthcare-operations-access,1,1,0,11001,"provider lifecycle, credentialing, enrollment and provider data maintenance roles at health plans",True,7,newest,True,enrollment_operations,https://www.linkedin.com/jobs/search/?f_TPR=r604800&f_WT=2&keywords=provider+lifecycle%2C+credentialing%2C+enrollment+and+provider+data+maintenance+roles+at+health+plans&location=United+States&sortBy=DD,A_FASTEST_DOOR_RECENT,
T897F4D5FBD698AE97D,jobbot-broad-qualified-yield,2026-09-22.1,provider_lifecycle_credentialing_data,intent,linkedin_intent,linkedin,HEALTHCARE_OPS_ACCESS,HEALTHCARE_OPS_ACCESS,Healthcare operations / access,35,P0-healthcare-operations-access,1,1,0,11002,healthcare credentialing operations including provider onboarding and roster maintenance,True,7,newest,True,enrollment_operations,https://www.linkedin.com/jobs/search/?f_TPR=r604800&f_WT=2&keywords=healthcare+credentialing+operations+including+provider+onboarding+and+roster+maintenance&location=United+States&sortBy=DD,A_FASTEST_DOOR_RECENT,
T92639E1252062B922C,jobbot-broad-qualified-yield,2026-09-22.1,provider_lifecycle_credentialing_data,title_family,linkedin_title_family,linkedin,HEALTHCARE_OPS_ACCESS,HEALTHCARE_OPS_ACCESS,Healthcare operations / access,35,P0-healthcare-operations-access,1,1,0,12001,"""provider enrollment"" OR ""provider credentialing"" specialist coordinator",True,7,newest,True,enrollment_operations,https://www.linkedin.com/jobs/search/?f_TPR=r604800&f_WT=2&keywords=%22provider+enrollment%22+OR+%22provider+credentialing%22+specialist+coordinator&location=United+States&sortBy=DD,A_FASTEST_DOOR_RECENT,
T04F4024DA055BCF0A5,jobbot-broad-qualified-yield,2026-09-22.1,provider_lifecycle_credentialing_data,title_family,linkedin_title_family,linkedin,HEALTHCARE_OPS_ACCESS,HEALTHCARE_OPS_ACCESS,Healthcare operations / access,35,P0-healthcare-operations-access,1,1,0,12002,"""provider data"" credentialing roster specialist",True,7,newest,True,enrollment_operations,https://www.linkedin.com/jobs/search/?f_TPR=r604800&f_WT=2&keywords=%22provider+data%22+credentialing+roster+specialist&location=United+States&sortBy=DD,A_FASTEST_DOOR_RECENT,
T14C9C46B808A6DF60E,jobbot-broad-qualified-yield,2026-09-22.1,healthcare_quality_data_documentation_compliance,intent,linkedin_intent,linkedin,HEALTHCARE_QUALITY_DATA,HEALTHCARE_QUALITY_DATA,Healthcare quality / data / analytics,20,P1-healthcare-quality-data,2,2,1,21001,nonclinical healthcare quality documentation audit and compliance operations,True,7,newest,True,healthcare_data_quality,https://www.linkedin.com/jobs/search/?f_TPR=r604800&f_WT=2&keywords=nonclinical+healthcare+quality+documentation+audit+and+compliance+operations&location=United+States&sortBy=DD,A_FASTEST_DOOR_RECENT,
TF17EE429DA2A2FFDC4,jobbot-broad-qualified-yield,2026-09-22.1,healthcare_quality_data_documentation_compliance,intent,linkedin_intent,linkedin,HEALTHCARE_QUALITY_DATA,HEALTHCARE_QUALITY_DATA,Healthcare quality / data / analytics,20,P1-healthcare-quality-data,2,2,1,21002,health information records accuracy data quality and documentation review,True,7,newest,True,healthcare_data_quality,https://www.linkedin.com/jobs/search/?f_TPR=r604800&f_WT=2&keywords=health+information+records+accuracy+data+quality+and+documentation+review&location=United+States&sortBy=DD,A_FASTEST_DOOR_RECENT,
T63E1047DFB7DD28681,jobbot-broad-qualified-yield,2026-09-22.1,healthcare_quality_data_documentation_compliance,title_family,linkedin_title_family,linkedin,HEALTHCARE_QUALITY_DATA,HEALTHCARE_QUALITY_DATA,Healthcare quality / data / analytics,20,P1-healthcare-quality-data,2,2,1,22001,"""healthcare quality"" OR ""documentation quality"" specialist coordinator",True,7,newest,True,healthcare_data_quality,https://www.linkedin.com/jobs/search/?f_TPR=r604800&f_WT=2&keywords=%22healthcare+quality%22+OR+%22documentation+quality%22+specialist+coordinator&location=United+States&sortBy=DD,A_FASTEST_DOOR_RECENT,
TA327E1BC8E983DDCB1,jobbot-broad-qualified-yield,2026-09-22.1,healthcare_quality_data_documentation_compliance,title_family,linkedin_title_family,linkedin,HEALTHCARE_QUALITY_DATA,HEALTHCARE_QUALITY_DATA,Healthcare quality / data / analytics,20,P1-healthcare-quality-data,2,2,1,22002,"""health information"" records compliance quality specialist",True,7,newest,True,healthcare_data_quality,https://www.linkedin.com/jobs/search/?f_TPR=r604800&f_WT=2&keywords=%22health+information%22+records+compliance+quality+specialist&location=United+States&sortBy=DD,A_FASTEST_DOOR_RECENT,
TEDF1C8C2C54FB3B9F4,jobbot-broad-qualified-yield,2026-09-22.1,healthcare_project_implementation_program_support,intent,linkedin_intent,linkedin,HEALTHCARE_IMPLEMENTATION,HEALTHCARE_IMPLEMENTATION,Healthcare implementation / project / program,10,P1-healthcare-implementation-project,3,3,1,31001,healthcare implementation and project coordination workflow support,True,7,newest,True,healthcare_data_quality,https://www.linkedin.com/jobs/search/?f_TPR=r604800&f_WT=2&keywords=healthcare+implementation+and+project+coordination+workflow+support&location=United+States&sortBy=DD,A_FASTEST_DOOR_RECENT,
T8A041081B2368F132F,jobbot-broad-qualified-yield,2026-09-22.1,healthcare_project_implementation_program_support,intent,linkedin_intent,linkedin,HEALTHCARE_IMPLEMENTATION,HEALTHCARE_IMPLEMENTATION,Healthcare implementation / project / program,10,P1-healthcare-implementation-project,3,3,1,31002,healthcare program operations project tracking and implementation support,True,7,newest,True,healthcare_data_quality,https://www.linkedin.com/jobs/search/?f_TPR=r604800&f_WT=2&keywords=healthcare+program+operations+project+tracking+and+implementation+support&location=United+States&sortBy=DD,A_FASTEST_DOOR_RECENT,
